[2011-12-09 21:03:13,728] INFO                                                      server               Старт приложения
[2011-12-09 21:03:38,924] INFO                                                      server               Пользователь пытается авторизоваться в системе
[2011-12-09 21:03:38,942] INFO                                                      server               Пользователь авторизовался в системе: VotGES.Web.Services.User
[2011-12-09 21:03:40,250] INFO                                                      client               Пользователь авторизовался в клиенте
[2011-12-09 21:03:40,262] INFO                                                      client               Старт главной страницы
[2011-12-09 21:10:13,750] INFO                                                      server               Пользователь пытается авторизоваться в системе
[2011-12-09 21:10:13,751] INFO                                                      server               Пользователь авторизовался в системе: VotGES.Web.Services.User
[2011-12-09 21:10:16,510] INFO                                                      client               Пользователь авторизовался в клиенте
[2011-12-09 21:10:16,598] INFO                                                      client               Старт главной страницы
