[2011-12-30 16:00:39,422] INFO                                                      server               Старт приложения
[2011-12-30 16:01:47,566] INFO       rj128x-pc\rj128x               ::1             server               Пользователь пытается авторизоваться в системе
[2011-12-30 16:01:47,631] INFO       rj128x-pc\rj128x               ::1             server               Пользователь авторизовался в системе: rj128x-pc\rj128x
[2011-12-30 16:01:50,980] INFO       rj128x-pc\rj128x               ::1             client               Пользователь авторизовался в клиенте
[2011-12-30 16:01:50,998] INFO       rj128x-pc\rj128x               ::1             client               Старт главной страницы
[2011-12-30 16:01:57,251] INFO       rj128x-pc\rj128x               ::1             server               Получение прогноза (прогноз) 1 []
[2011-12-30 16:02:19,685] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,686] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,686] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,686] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,687] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,687] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,687] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,689] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,689] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,692] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,692] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,692] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,695] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,695] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,696] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,696] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,700] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:19,931] INFO       rj128x-pc\rj128x               ::1             server               System.InvalidOperationException: Последовательность не содержит элементов
   в System.Linq.Enumerable.Last[TSource](IEnumerable`1 source)
   в VotGES.PrognozNB.PrognozNB.calcPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\PrognozNB.cs:строка 108
   в VotGES.PrognozNB.PrognozNBByPBR.startPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\PrognozNBByPBR.cs:строка 178
   в VotGES.Web.Services.ChartService.getPrognoz(Int32 countDays, SortedList`2 pbr) в D:\vs2010\VotGES\VotGES.Web\Services\ChartService.cs:строка 119
[2011-12-30 16:02:22,975] INFO       rj128x-pc\rj128x               ::1             client               System.NullReferenceException: В экземпляре объекта не задана ссылка на объект.
   в MainSL.Views.ChartControl.processChartAnswer(ChartAnswer chartAnswer)
   в MainSL.Views.PrognozNBPage.<loadPrognoz>b__0(InvokeOperation`1 oper)
[2011-12-30 16:02:25,604] INFO       rj128x-pc\rj128x               ::1             server               Получение прогноза (факт) 29.12.2011 0:00:00 - 1
[2011-12-30 16:02:25,701] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,702] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,702] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,702] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,702] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,703] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,703] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,704] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,704] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,704] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,705] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,705] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,705] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,706] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,706] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,706] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,707] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,707] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,707] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,709] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,710] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,710] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,710] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,710] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,711] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,711] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,711] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,713] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,713] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,713] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,714] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,714] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,714] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,715] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,715] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,715] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,715] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,716] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,716] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,716] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,717] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,717] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,717] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,717] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,719] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,720] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,720] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:02:25,722] INFO       rj128x-pc\rj128x               ::1             server               System.InvalidOperationException: Последовательность не содержит элементов
   в System.Linq.Enumerable.Last[TSource](IEnumerable`1 source)
   в VotGES.PrognozNB.PrognozNB.calcPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\PrognozNB.cs:строка 108
   в VotGES.PrognozNB.CheckPrognozNB.startPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\CheckPrognozNB.cs:строка 36
   в VotGES.Web.Services.ChartService.checkPrognozNB(DateTime date, Int32 countDays) в D:\vs2010\VotGES\VotGES.Web\Services\ChartService.cs:строка 104
[2011-12-30 16:02:27,922] INFO       rj128x-pc\rj128x               ::1             client               System.NullReferenceException: В экземпляре объекта не задана ссылка на объект.
   в MainSL.Views.ChartControl.processChartAnswer(ChartAnswer chartAnswer)
   в MainSL.Views.CheckPrognozNBPage.<btnGetPrognoz_Click>b__0(InvokeOperation`1 oper)
[2011-12-30 16:02:34,541] INFO       rj128x-pc\rj128x               ::1             server               Получение прогноза (факт) 22.07.2010 0:00:00 - 1
[2011-12-30 16:02:45,902] INFO       rj128x-pc\rj128x               ::1             server               Получение прогноза (факт) 22.07.2010 0:00:00 - 10
[2011-12-30 16:46:48,520] INFO                                                      server               Старт приложения
[2011-12-30 16:47:13,794] INFO       rj128x-pc\rj128x               ::1             server               Пользователь пытается авторизоваться в системе
[2011-12-30 16:47:13,795] INFO       rj128x-pc\rj128x               ::1             server               Пользователь авторизовался в системе: rj128x-pc\rj128x
[2011-12-30 16:47:15,128] INFO       rj128x-pc\rj128x               ::1             client               Пользователь авторизовался в клиенте
[2011-12-30 16:47:15,298] INFO       rj128x-pc\rj128x               ::1             client               Старт главной страницы
[2011-12-30 16:47:30,775] INFO       rj128x-pc\rj128x               ::1             server               Получение прогноза (факт) 14.12.2011 0:00:00 - 1
[2011-12-30 16:47:54,112] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,112] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,112] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,112] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,119] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,119] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,120] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,120] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,120] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,121] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,121] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,121] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,122] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,122] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,122] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,123] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,123] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,123] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,124] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,124] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,124] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,124] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,125] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,125] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,125] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,127] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,127] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,128] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,128] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,128] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,128] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,129] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,129] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,130] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,130] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,131] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,131] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,131] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,131] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,132] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,132] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,132] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,133] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,133] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,133] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,135] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,135] INFO       rj128x-pc\rj128x               ::1             server               Ошибка получения расхода мощность: 100 napor: 0 (Последовательность не содержит соответствующий элемент)
[2011-12-30 16:47:54,329] INFO       rj128x-pc\rj128x               ::1             server               System.InvalidOperationException: Последовательность не содержит элементов
   в System.Linq.Enumerable.Last[TSource](IEnumerable`1 source)
   в VotGES.PrognozNB.PrognozNB.calcPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\PrognozNB.cs:строка 108
   в VotGES.PrognozNB.CheckPrognozNB.startPrognoz() в D:\vs2010\VotGES\VotGES\PrognozNB\CheckPrognozNB.cs:строка 36
   в VotGES.Web.Services.ChartService.checkPrognozNB(DateTime date, Int32 countDays) в D:\vs2010\VotGES\VotGES.Web\Services\ChartService.cs:строка 104
[2011-12-30 16:47:57,448] INFO       rj128x-pc\rj128x               ::1             client               System.NullReferenceException: В экземпляре объекта не задана ссылка на объект.
   в MainSL.Views.ChartControl.processChartAnswer(ChartAnswer chartAnswer)
   в MainSL.Views.CheckPrognozNBPage.<btnGetPrognoz_Click>b__0(InvokeOperation`1 oper)
[2011-12-30 16:49:16,765] INFO                                                      server               Старт приложения
[2011-12-30 16:49:22,151] INFO       rj128x-pc\rj128x               ::1             server               Пользователь пытается авторизоваться в системе
[2011-12-30 16:49:22,176] INFO       rj128x-pc\rj128x               ::1             server               Пользователь авторизовался в системе: rj128x-pc\rj128x
[2011-12-30 16:49:23,198] INFO       rj128x-pc\rj128x               ::1             client               Пользователь авторизовался в клиенте
